ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
1,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.5,Session 1.4,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 4.2,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 5.3,Session 5.2,Session 5.5,Session 5.4,,08/08/2019 10:08,08/08/2019 10:08,08/08/2019 10:08
2,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.4,Session 1.3,Session 1.5,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 2.1,Session 3.5,Session 3.1,Session 3.3,Session 3.4,Session 3.2,Session 4.3,No preference,No preference,No preference,No preference,Session 5.1,Session 5.4,No preference,No preference,No preference,08/08/2019 09:45,08/08/2019 09:45,08/08/2019 09:45
3,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,No preference,No preference,No preference,No preference,Session 2.5,No preference,No preference,No preference,No preference,Session 3.2,Session 3.3,Session 3.4,Session 3.5,No preference,Session 4.1,Session 4.5,No preference,No preference,No preference,Session 5.2,Session 5.4,No preference,No preference,No preference,08/08/2019 09:37,08/08/2019 09:37,08/08/2019 09:37
4,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,No preference,No preference,No preference,Session 2.2,Session 2.1,No preference,No preference,No preference,Session 3.2,Session 3.5,Session 3.1,No preference,No preference,Session 4.2,No preference,No preference,No preference,No preference,Session 5.3,Session 5.5,No preference,No preference,No preference,08/08/2019 09:31,08/08/2019 09:31,08/08/2019 09:31
5,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.4,Session 2.1,Session 2.2,Session 2.5,Session 2.3,Session 3.3,Session 3.5,Session 3.2,Session 3.4,Session 3.1,Session 4.3,Session 4.1,Session 4.5,Session 4.4,Session 4.2,Session 5.2,Session 5.4,Session 5.5,Session 5.1,Session 5.3,08/08/2019 09:30,08/08/2019 09:30,08/08/2019 09:30
6,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.5,Session 1.4,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.2,Session 3.1,Session 3.5,Session 3.4,Session 3.4,Session 4.1,No preference,No preference,No preference,No preference,Session 5.3,Session 5.5,Session 5.4,Session 5.2,Session 5.1,08/08/2019 08:53,08/08/2019 08:53,08/08/2019 08:53
7,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 2.5,Session 2.3,Session 2.2,Session 2.4,Session 2.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 3.1,Session 4.3,Session 4.1,Session 4.2,Session 4.4,Session 4.5,Session 5.2,Session 5.4,Session 5.5,Session 5.3,Session 5.1,08/08/2019 08:46,08/08/2019 08:46,08/08/2019 08:46
8,"Wednesday 2nd October, Tuesday 1st October",Session 1.4,Session 1.2,No preference,No preference,No preference,Session 2.4,Session 2.5,No preference,No preference,No preference,Session 3.5,Session 3.1,No preference,No preference,No preference,Session 4.3,Session 4.4,Session 4.2,No preference,No preference,Session 5.5,Session 5.3,No preference,No preference,No preference,08/08/2019 08:05,08/08/2019 08:05,08/08/2019 08:05
9,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.1,Session 1.2,No preference,Session 2.2,Session 2.5,No preference,No preference,No preference,Session 3.1,Session 3.5,Session 3.3,No preference,No preference,Session 4.1,Session 4.3,Session 4.2,Session 4.4,Session 4.1,Session 5.4,Session 5.2,No preference,No preference,No preference,07/08/2019 17:48,07/08/2019 17:48,07/08/2019 17:48
10,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,No preference,No preference,Session 2.5,Session 2.1,No preference,No preference,No preference,Session 3.1,Session 3.4,Session 3.5,No preference,No preference,Session 4.2,Session 4.3,No preference,No preference,No preference,Session 5.2,Session 5.3,Session 5.5,No preference,No preference,07/08/2019 16:59,07/08/2019 16:59,07/08/2019 16:59
11,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,No preference,No preference,Session 2.5,Session 2.1,No preference,No preference,No preference,Session 3.1,Session 3.4,Session 3.5,No preference,No preference,Session 4.2,Session 4.3,No preference,No preference,No preference,Session 5.2,Session 5.3,Session 5.5,No preference,No preference,07/08/2019 16:59,07/08/2019 16:59,07/08/2019 16:59
12,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.4,Session 1.2,Session 1.1,Session 2.2,Session 2.1,Session 2.3,Session 2.5,Session 2.4,Session 3.1,Session 3.5,Session 3.3,Session 3.4,Session 3.2,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 5.4,Session 5.5,Session 5.3,Session 5.2,Session 5.1,07/08/2019 16:45,07/08/2019 16:45,07/08/2019 16:45
13,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 2.1,Session 2.5,Session 2.2,Session 2.4,Session 2.3,Session 3.1,Session 3.3,Session 3.4,Session 3.2,Session 3.5,Session 4.1,Session 4.3,Session 4.4,Session 4.2,Session 4.5,Session 5.5,Session 5.2,Session 5.3,Session 5.4,Session 5.1,07/08/2019 16:42,07/08/2019 16:42,07/08/2019 16:42
14,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.2,Session 1.1,Session 1.4,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.1,Session 3.4,Session 3.3,Session 3.2,Session 3.5,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 5.5,Session 5.4,Session 5.3,Session 5.2,Session 5.1,07/08/2019 16:35,07/08/2019 16:35,07/08/2019 16:35
15,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.4,Session 1.5,Session 2.5,Session 2.3,Session 2.2,Session 2.4,Session 2.1,Session 3.5,Session 3.3,Session 3.4,Session 3.1,Session 3.2,Session 4.3,Session 4.1,Session 4.5,Session 4.2,Session 4.4,Session 5.4,Session 5.3,Session 5.1,Session 5.2,Session 5.5,07/08/2019 16:21,07/08/2019 16:21,07/08/2019 16:21
16,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.2,Session 1.1,Session 1.4,Session 2.3,Session 2.5,Session 2.2,Session 2.1,Session 2.4,Session 3.1,Session 3.3,Session 3.5,Session 3.2,Session 3.4,Session 4.3,Session 4.5,Session 4.1,Session 4.4,Session 4.2,Session 5.2,Session 5.3,Session 5.1,Session 5.5,Session 5.4,07/08/2019 15:32,07/08/2019 15:32,07/08/2019 15:32
17,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,No preference,No preference,No preference,Session 2.5,Session 2.1,No preference,No preference,No preference,Session 3.3,Session 3.5,No preference,No preference,No preference,Session 4.5,Session 4.4,No preference,No preference,No preference,Session 5.2,Session 5.1,No preference,No preference,No preference,07/08/2019 15:24,07/08/2019 15:24,07/08/2019 15:24
18,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 1.5,Session 2.4,Session 2.2,Session 2.1,Session 2.5,Session 2.3,Session 3.1,Session 3.5,Session 3.2,Session 3.3,Session 3.4,Session 4.1,Session 4.5,Session 4.3,Session 4.2,Session 4.4,Session 5.5,Session 5.3,Session 5.4,Session 5.2,Session 5.1,07/08/2019 15:19,07/08/2019 15:19,07/08/2019 15:19
19,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.5,Session 2.2,Session 2.5,Session 2.4,Session 2.1,Session 2.3,Session 3.1,Session 3.5,Session 3.3,Session 3.4,Session 3.2,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 5.4,Session 5.3,Session 5.1,Session 5.5,Session 5.2,07/08/2019 14:33,07/08/2019 14:33,07/08/2019 14:33
20,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.2,No preference,No preference,Session 2.2,No preference,No preference,No preference,Session 2.5,Session 3.3,Session 3.4,Session 3.5,Session 3.1,Session 3.2,No preference,No preference,No preference,Session 4.2,Session 4.4,No preference,No preference,No preference,Session 5.3,Session 5.5,07/08/2019 14:14,07/08/2019 14:14,07/08/2019 14:14
21,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,No preference,No preference,No preference,Session 2.5,Session 2.2,No preference,No preference,No preference,Session 3.3,Session 3.4,Session 3.5,No preference,No preference,Session 4.1,Session 4.3,No preference,No preference,No preference,Session 5.4,Session 5.1,No preference,No preference,No preference,07/08/2019 13:53,07/08/2019 13:53,07/08/2019 13:53
22,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 2.1,Session 2.2,Session 2.3,No preference,No preference,Session 3.3,Session 3.1,Session 3.4,Session 3.5,Session 3.2,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 5.2,Session 5.4,Session 5.5,No preference,No preference,07/08/2019 12:55,07/08/2019 12:55,07/08/2019 12:55
23,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.2,Session 1.5,No preference,No preference,Session 2.5,Session 2.2,No preference,No preference,No preference,Session 3.3,Session 3.4,Session 3.1,No preference,No preference,Session 4.4,Session 4.3,No preference,No preference,No preference,Session 5.2,Session 5.3,Session 5.5,No preference,No preference,07/08/2019 12:49,07/08/2019 12:49,07/08/2019 12:49
24,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.5,Session 1.1,Session 1.4,Session 2.1,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 3.1,Session 3.3,Session 3.5,Session 3.4,Session 3.2,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 4.3,Session 5.3,Session 5.5,Session 5.1,Session 5.2,Session 5.4,07/08/2019 12:42,07/08/2019 12:42,07/08/2019 12:42
25,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.3,Session 1.5,No preference,No preference,Session 2.4,Session 2.2,Session 2.1,Session 2.5,Session 2.3,Session 3.5,Session 3.3,Session 3.4,Session 3.1,Session 3.2,Session 4.4,Session 4.3,No preference,No preference,No preference,Session 5.1,Session 5.4,Session 5.2,Session 5.5,Session 5.3,07/08/2019 12:38,07/08/2019 12:38,07/08/2019 12:38
26,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.4,Session 1.5,Session 1.3,Session 2.3,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 3.3,Session 3.1,Session 3.4,Session 3.5,Session 3.1,Session 4.5,Session 4.4,No preference,No preference,No preference,Session 5.1,No preference,No preference,No preference,No preference,07/08/2019 12:09,07/08/2019 12:09,07/08/2019 12:09
27,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.1,Session 1.1,Session 2.5,Session 2.5,Session 2.5,Session 2.4,Session 2.2,Session 3.1,Session 3.1,Session 3.2,Session 3.3,Session 3.1,Session 4.1,Session 4.3,Session 4.2,Session 4.1,Session 4.4,Session 5.4,Session 5.5,Session 5.3,Session 5.2,Session 5.4,07/08/2019 11:49,07/08/2019 11:49,07/08/2019 11:49
28,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.5,Session 1.3,Session 1.2,Session 1.1,Session 2.4,Session 2.2,Session 2.3,Session 2.5,Session 2.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 3.1,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 4.2,Session 5.5,Session 5.2,Session 5.4,Session 5.1,Session 5.3,07/08/2019 11:34,07/08/2019 11:34,07/08/2019 11:34
29,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.4,Session 1.1,Session 1.5,Session 2.1,Session 2.2,Session 2.4,Session 2.3,Session 2.5,Session 3.1,Session 3.5,Session 3.4,Session 3.3,Session 3.2,Session 4.2,Session 4.4,Session 4.3,Session 4.5,Session 4.1,Session 5.5,Session 5.4,Session 5.2,Session 5.1,Session 5.3,07/08/2019 11:28,07/08/2019 11:28,07/08/2019 11:28
30,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 2.5,Session 2.2,Session 2.1,Session 2.4,Session 2.3,Session 3.5,Session 3.3,Session 3.4,Session 3.2,Session 3.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 4.1,Session 5.2,Session 5.4,Session 5.5,Session 5.3,Session 5.1,07/08/2019 11:19,07/08/2019 11:19,07/08/2019 11:19
31,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.5,No preference,No preference,Session 2.1,Session 2.5,Session 2.2,No preference,No preference,Session 3.1,Session 3.3,Session 3.5,No preference,No preference,Session 4.2,Session 4.3,Session 4.5,No preference,No preference,Session 5.4,Session 5.5,Session 5.3,No preference,No preference,07/08/2019 11:10,07/08/2019 11:10,07/08/2019 11:10
32,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.2,Session 1.5,Session 2.1,Session 2.2,Session 2.5,Session 2.3,Session 2.4,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.2,Session 4.5,Session 4.2,Session 4.3,Session 4.1,Session 4.4,Session 5.5,Session 5.3,Session 5.1,Session 5.4,Session 5.2,07/08/2019 11:02,07/08/2019 11:02,07/08/2019 11:02
33,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,07/08/2019 11:02,07/08/2019 11:02,07/08/2019 11:02
34,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,Session 1.5,Session 1.4,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.1,Session 3.5,Session 3.4,Session 3.2,Session 3.3,Session 4.3,Session 4.2,Session 4.5,Session 4.4,Session 4.1,Session 5.3,Session 5.5,Session 5.4,Session 5.1,Session 5.2,07/08/2019 10:59,07/08/2019 10:59,07/08/2019 10:59
35,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,No preference,No preference,No preference,No preference,Session 2.3,No preference,No preference,No preference,No preference,Session 3.3,No preference,No preference,No preference,No preference,Session 4.1,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,07/08/2019 10:55,07/08/2019 10:55,07/08/2019 10:55
36,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,Session 1.4,Session 1.5,Session 2.5,Session 2.2,Session 2.4,Session 2.1,Session 2.5,Session 3.4,Session 3.1,Session 3.2,Session 3.5,Session 3.3,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 4.3,Session 5.2,Session 5.5,Session 5.1,Session 5.4,Session 5.3,07/08/2019 10:54,07/08/2019 10:54,07/08/2019 10:54
37,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.5,No preference,No preference,Session 2.1,Session 2.5,Session 2.3,Session 2.4,Session 2.2,Session 3.2,Session 3.3,Session 3.1,Session 3.4,Session 3.5,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 5.4,Session 5.2,Session 5.1,No preference,No preference,07/08/2019 10:44,07/08/2019 10:44,07/08/2019 10:44
38,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,No preference,No preference,No preference,Session 2.5,Session 2.2,No preference,No preference,No preference,Session 3.3,Session 3.2,No preference,No preference,No preference,Session 4.4,Session 4.1,No preference,No preference,No preference,Session 5.3,Session 5.2,No preference,No preference,No preference,07/08/2019 10:42,07/08/2019 10:42,07/08/2019 10:42
39,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.1,Session 1.2,Session 1.4,Session 2.1,Session 2.3,Session 2.5,Session 2.4,Session 2.2,Session 3.2,Session 3.1,Session 3.3,Session 3.5,Session 3.4,Session 4.2,Session 4.4,Session 4.3,Session 4.1,Session 4.2,Session 5.5,Session 5.3,Session 5.1,Session 5.2,Session 5.4,07/08/2019 10:30,07/08/2019 10:30,07/08/2019 10:30
40,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.4,Session 1.2,Session 1.3,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 2.5,Session 3.5,Session 3.1,Session 3.3,Session 3.2,Session 3.4,Session 4.1,Session 4.5,Session 4.4,Session 4.2,Session 4.3,Session 5.4,Session 5.2,Session 5.1,Session 5.3,Session 5.5,07/08/2019 10:10,07/08/2019 10:10,07/08/2019 10:10
41,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.1,Session 1.1,Session 2.5,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.5,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.2,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.4,Session 5.1,Session 5.1,Session 5.1,Session 5.1,07/08/2019 09:58,07/08/2019 09:58,07/08/2019 09:58
42,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.1,Session 2.4,Session 2.3,Session 2.2,Session 2.5,Session 3.3,Session 3.4,Session 3.5,Session 3.2,Session 3.1,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 4.2,Session 5.5,Session 5.1,Session 5.3,Session 5.4,Session 5.2,07/08/2019 09:18,07/08/2019 09:18,07/08/2019 09:18
43,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.5,No preference,No preference,Session 2.1,Session 2.5,Session 2.4,No preference,No preference,Session 3.2,Session 3.3,Session 3.5,Session 3.4,Session 3.1,Session 4.3,Session 4.4,Session 4.1,No preference,No preference,Session 5.5,Session 5.1,Session 5.3,No preference,No preference,07/08/2019 09:07,07/08/2019 09:07,07/08/2019 09:07
44,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,No preference,No preference,No preference,Session 2.3,Session 2.1,Session 2.2,Session 2.4,Session 2.5,Session 3.1,No preference,No preference,No preference,No preference,Session 4.1,Session 4.2,Session 4.3,Session 4.4,Session 4.5,No preference,No preference,No preference,No preference,No preference,07/08/2019 08:04,07/08/2019 08:04,07/08/2019 08:04
45,Tuesday 1st October,No preference,Session 1.1,Session 1.1,Session 1.1,Session 1.1,No preference,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,06/08/2019 18:57,06/08/2019 18:57,06/08/2019 18:57
46,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.3,Session 1.5,Session 1.4,Session 2.3,No preference,No preference,No preference,No preference,Session 3.2,Session 3.1,Session 3.3,Session 3.4,Session 3.5,Session 4.2,Session 4.1,Session 4.3,Session 4.5,Session 4.4,Session 5.4,Session 5.3,Session 5.2,Session 5.5,Session 5.1,06/08/2019 16:48,06/08/2019 16:48,06/08/2019 16:48
47,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.5,Session 1.3,Session 1.2,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 2.1,Session 3.2,Session 3.4,Session 3.5,Session 3.3,Session 3.1,Session 4.4,Session 4.3,Session 4.5,Session 4.2,Session 4.1,Session 5.1,Session 5.2,Session 5.3,Session 5.5,Session 5.4,06/08/2019 16:45,06/08/2019 16:45,06/08/2019 16:45
48,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.2,No preference,No preference,No preference,Session 2.4,Session 2.3,No preference,No preference,No preference,Session 3.5,Session 3.2,No preference,No preference,No preference,Session 4.4,Session 4.2,No preference,No preference,No preference,Session 5.4,Session 5.1,No preference,No preference,No preference,06/08/2019 16:39,06/08/2019 16:39,06/08/2019 16:39
49,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.2,Session 1.3,Session 1.1,Session 2.2,Session 2.3,Session 2.5,Session 2.1,Session 2.4,Session 3.3,Session 3.5,Session 3.4,Session 3.2,Session 3.1,Session 4.3,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 5.4,Session 5.2,Session 5.3,Session 5.5,Session 5.1,06/08/2019 16:35,06/08/2019 16:35,06/08/2019 16:35
50,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.1,Session 1.4,Session 1.2,Session 2.2,Session 2.5,No preference,No preference,Session 2.1,Session 3.5,Session 3.2,Session 3.4,Session 3.3,Session 3.1,Session 4.1,Session 4.4,Session 4.5,No preference,No preference,Session 5.1,Session 5.5,Session 5.2,Session 5.3,Session 5.4,06/08/2019 15:44,06/08/2019 15:44,06/08/2019 15:44
51,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,No preference,No preference,No preference,Session 2.2,Session 2.5,No preference,No preference,No preference,Session 3.5,Session 3.4,Session 3.3,Session 3.1,Session 3.2,Session 4.3,Session 4.1,No preference,No preference,Session 4.2,Session 5.2,Session 5.3,Session 5.5,Session 5.1,Session 5.4,06/08/2019 15:21,06/08/2019 15:21,06/08/2019 15:21
52,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,No preference,No preference,Session 2.5,Session 2.1,Session 2.2,No preference,No preference,Session 3.5,Session 3.4,Session 3.1,Session 3.1,No preference,Session 4.4,Session 4.3,Session 4.2,No preference,No preference,Session 5.1,Session 5.2,No preference,No preference,Session 5.5,06/08/2019 14:14,06/08/2019 14:14,06/08/2019 14:14
53,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.2,Session 1.3,No preference,No preference,Session 2.2,Session 2.5,Session 2.1,No preference,No preference,Session 3.1,Session 3.3,Session 3.4,No preference,No preference,Session 4.1,No preference,No preference,No preference,No preference,Session 5.1,Session 5.4,Session 5.3,No preference,No preference,06/08/2019 14:07,06/08/2019 14:07,06/08/2019 14:07
54,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 1.2,Session 2.2,Session 2.4,Session 2.5,Session 2.1,Session 2.3,Session 3.3,Session 3.4,Session 3.5,Session 3.2,Session 3.1,Session 4.3,Session 4.1,Session 4.5,Session 4.4,Session 4.2,Session 5.2,Session 5.4,Session 5.1,Session 5.5,Session 5.3,06/08/2019 13:27,06/08/2019 13:27,06/08/2019 13:27
55,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,06/08/2019 13:25,06/08/2019 13:25,06/08/2019 13:25
56,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.5,Session 1.4,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.4,Session 3.1,Session 3.5,Session 3.3,Session 3.4,Session 4.3,Session 4.4,Session 4.2,Session 4.5,Session 4.1,Session 5.2,Session 5.4,Session 5.1,Session 5.5,Session 5.3,06/08/2019 12:56,06/08/2019 12:56,06/08/2019 12:56
57,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.3,Session 1.2,Session 1.3,Session 2.1,Session 2.4,Session 2.1,Session 2.4,Session 2.1,Session 3.5,Session 3.1,Session 3.5,Session 3.1,Session 3.5,Session 4.4,Session 4.5,Session 4.4,Session 4.5,Session 4.4,Session 5.5,Session 5.4,Session 5.5,Session 5.4,Session 5.5,06/08/2019 12:28,06/08/2019 12:28,06/08/2019 12:28
58,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.2,Session 2.5,Session 2.4,Session 2.3,Session 2.1,Session 3.4,Session 3.2,Session 3.1,Session 3.5,Session 3.3,Session 4.4,Session 4.3,Session 4.1,Session 4.5,Session 4.2,Session 5.5,Session 5.2,Session 5.1,Session 5.4,Session 5.3,06/08/2019 12:01,06/08/2019 12:01,06/08/2019 12:01
59,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.4,Session 1.5,Session 1.2,Session 1.1,Session 2.5,Session 2.2,Session 2.3,Session 2.4,Session 2.1,Session 3.2,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.3,Session 4.1,Session 4.4,No preference,No preference,Session 5.4,Session 5.2,Session 5.1,Session 5.3,Session 5.5,06/08/2019 11:57,06/08/2019 11:57,06/08/2019 11:57
60,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.3,Session 1.1,No preference,No preference,Session 2.1,Session 2.4,Session 2.2,No preference,No preference,Session 3.1,Session 3.5,No preference,No preference,No preference,Session 4.2,Session 4.4,No preference,No preference,No preference,Session 5.2,Session 5.1,No preference,No preference,No preference,06/08/2019 09:09,06/08/2019 09:09,06/08/2019 09:09
61,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.5,Session 1.4,Session 2.3,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 3.2,Session 3.4,Session 3.5,Session 3.1,Session 3.3,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 5.2,Session 5.5,Session 5.1,Session 5.3,Session 5.4,06/08/2019 08:57,06/08/2019 08:57,06/08/2019 08:57
62,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,No preference,No preference,Session 2.3,Session 2.5,Session 2.2,No preference,No preference,Session 3.4,Session 3.1,Session 3.3,No preference,No preference,Session 4.2,Session 4.4,Session 4.1,No preference,No preference,Session 5.4,Session 5.2,Session 5.1,No preference,No preference,06/08/2019 08:30,06/08/2019 08:30,06/08/2019 08:30
